GENEID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene
ENSG00000111348.4,242.1541137,0.633125393,0.085575109,7.39847601,1.38E-13,5.49E-11,ARHGDIB
ENSG00000198744.5,51.33646685,2.153790241,0.291061173,7.39978547,1.36E-13,5.49E-11,RP5-857K21.11
ENSG00000161405.12,18.96043226,0.851492044,0.115138542,7.395369352,1.41E-13,5.55E-11,IKZF3
ENSG00000174600.9,101.331801,0.580824617,0.078550961,7.394239497,1.42E-13,5.55E-11,CMKLR1
ENSG00000160862.8,110.9728286,1.306392869,0.176915895,7.38425946,1.53E-13,5.92E-11,AZGP1
ENSG00000179593.11,28.109943,1.142489581,0.154903002,7.375516087,1.64E-13,6.26E-11,ALOX15B
ENSG00000066294.10,191.6412504,0.737366076,0.100061734,7.369111517,1.72E-13,6.51E-11,CD84
ENSG00000233429.5,2.597625926,1.819640697,0.247033487,7.36596776,1.76E-13,6.60E-11,HOTAIRM1
ENSG00000011600.7,83.92283471,0.84007151,0.114362356,7.34569956,2.05E-13,7.60E-11,TYROBP
ENSG00000081237.14,308.9816129,0.72607772,0.098983606,7.335333109,2.21E-13,8.14E-11,PTPRC
ENSG00000163154.5,42.39206488,0.536266907,0.073309982,7.31505992,2.57E-13,9.37E-11,TNFAIP8L2
ENSG00000165025.10,179.5626585,0.701220817,0.096049142,7.300646302,2.86E-13,1.03E-10,SYK
ENSG00000133574.5,161.2391769,0.46193041,0.063329262,7.29410696,3.01E-13,1.07E-10,GIMAP4
ENSG00000105366.11,110.2177195,0.952102926,0.130642789,7.287833749,3.15E-13,1.12E-10,SIGLEC8
ENSG00000111679.12,61.29770381,0.781270862,0.107242228,7.285104742,3.21E-13,1.13E-10,PTPN6
ENSG00000163803.8,145.721693,0.437330564,0.060051229,7.282624673,3.27E-13,1.14E-10,PLB1
ENSG00000153551.9,26.92462865,0.642270488,0.088355758,7.269141267,3.62E-13,1.25E-10,CMTM7
ENSG00000204472.8,113.4673759,0.925908726,0.127649493,7.253524496,4.06E-13,1.39E-10,AIF1
ENSG00000197380.6,851.3249726,-0.25446016,0.035123623,-7.244701478,4.33E-13,1.47E-10,DACT3
ENSG00000167208.10,19.48807368,1.00254329,0.13853351,7.236828769,4.59E-13,1.54E-10,SNX20
ENSG00000115107.15,96.99437071,0.614520841,0.085021555,7.227824031,4.91E-13,1.63E-10,STEAP3
ENSG00000264943.1,23.55094113,-0.64086115,0.088703026,-7.22479464,5.02E-13,1.66E-10,SH3GL1P2
ENSG00000100060.13,41.37452846,0.60409113,0.083667124,7.220173276,5.19E-13,1.70E-10,MFNG
ENSG00000120029.8,852.3526329,0.136025372,0.018931116,7.185280111,6.71E-13,2.17E-10,C10orf76
ENSG00000268001.1,15.53967392,0.593282056,0.082579876,7.184341839,6.75E-13,2.17E-10,CTC-241F20.3
ENSG00000205002.3,20.56380393,-0.620463614,0.086665716,-7.159274115,8.11E-13,2.59E-10,AARD
ENSG00000169397.3,3.292908534,1.617367639,0.226012685,7.156092311,8.30E-13,2.62E-10,RNASE3
ENSG00000182177.9,11.67019276,-0.729423,0.102232066,-7.134972713,9.68E-13,3.04E-10,ASB18
ENSG00000077522.8,1390.217893,-0.234085387,0.032819509,-7.132507187,9.86E-13,3.07E-10,ACTN2
